rating,true_sentiment,title,text,predicted_sentiment
5.0,POSITIVE,"Great gift","Having Amazon money is always good.",POSITIVE
5.0,POSITIVE,"amazon gift card","Always the perfect gift.  I have never given one and had someone seem or act disappointed.  Just the opposite.  They are thrilled and excited to have a bit of a spree.  Always the perfect size and color!  Arrives in 1 day in most cases.  So it's never too late!  Lots of cards to chose from... thank you... birthday... wedding..baby..  and many that work for many occasions...",POSITIVE
5.0,POSITIVE,"perfect gift","When you have a person who is hard to shop for.. an amazon gift card is P E R F E C T.  Man or woman...  No matter what their hobby... lifestyle.. or age.  All you have to do is pick the $.  Don't forget to mention that it is a GIFT when you check out - you will have some gift card options.  I've ordered many of these over years.  They are always received with glee.  Woo hoo!  If you're looking for a great fit for me - this is just my size!  :)  Best to all!",POSITIVE
5.0,POSITIVE,"Nice looking","The tin is a nice touch and pretty large.  It's about 4&#34; in diameter and about 1/2&#34; thick.  I added a pretty red ribbon and it is perfect.  Who doesn't love shopping on Amazon? Arrived quickly, I have Prime... but I think they ship the gift cards out SUPER fast... like over night. In case you need it for a FAST gift.",POSITIVE
1.0,NEGATIVE,"Not $10 Gift Cards","I bought this pack of Starbucks Gift cards in 2019. Ive given them to friends and I gave 2 to my daughter.<br />My daughter used one recently and it had $6.52 on the card not $10.00. She had the cashier check the balance of the other card and it had $5.32 on it! She had forgotten that she had these gift cards, so yes, 2 years later decided to use the when she found them! Do they decline in value? And then both had random amounts on them! I'm embarrassed now to have given them as gifts! Friends receiving the gift card aren't going to tell you that weren't able to cover their order with the card you gave them!!!",NEGATIVE
5.0,POSITIVE,"Cute!","That snowman tin is adorable",POSITIVE
5.0,POSITIVE,"Easy gift","Great and easy gift",POSITIVE
5.0,POSITIVE,"Great gift","Super cute nice quality tin<br />Your choose amount",POSITIVE
5.0,POSITIVE,"Gifts for my two granddaughters","They love it !!",POSITIVE
5.0,POSITIVE,"Great for saying \u201cthank you\u201d to the mail person, farrier, yard man,etc","So many people<br />Make your life better so remember them!",POSITIVE
5.0,POSITIVE,"Convenient, safe, and perfect gift","My grandson inlaw loves his gift cards, so it's the perfect gift for Christmas",POSITIVE
5.0,POSITIVE,"Giftcard","What can you say about a gift card? Well, it was valid. It's a good gift for someone who doesn't like to cook. Arrived promptly.",POSITIVE
5.0,POSITIVE,"Simple giftcard!","Easy way to gift money for birthdays.",POSITIVE
